Skill,Ubicacion_anterior,Ubicacion_final,Estado,Motivo
ceo-advisor,.claude/skills/ceo-advisor,.claude/skill-library-archive/unreviewed/ceo-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
certifier-automation,.claude/skills/certifier-automation,.claude/skill-library-archive/integrations/certifier-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cfo-advisor,.claude/skills/cfo-advisor,.claude/skill-library-archive/unreviewed/cfo-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cfo-review,.claude/skills/cfo-review,.claude/skill-library-archive/unreviewed/cfo-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
challenge,.claude/skills/challenge,.claude/skill-library-archive/unreviewed/challenge,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
change-management,.claude/skills/change-management,.claude/skill-library-archive/unreviewed/change-management,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
change-quiz,.claude/skills/change-quiz,.claude/skill-library-archive/integrations/change-quiz,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
changelog-automation,.claude/skills/changelog-automation,.claude/skill-library-archive/integrations/changelog-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
changelog-generator,.claude/skills/changelog-generator,.claude/skill-library-archive/integrations/changelog-generator,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
changelog,.claude/skills/changelog,.claude/skill-library-archive/unreviewed/changelog,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
channel-economics,.claude/skills/channel-economics,.claude/skill-library-archive/unreviewed/channel-economics,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
chaos-engineering,.claude/skills/chaos-engineering,.claude/skill-library-archive/unreviewed/chaos-engineering,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
chaos-experiment,.claude/skills/chaos-experiment,.claude/skill-library-archive/unreviewed/chaos-experiment,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
chaser-automation,.claude/skills/chaser-automation,.claude/skill-library-archive/integrations/chaser-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
chatbotkit-automation,.claude/skills/chatbotkit-automation,.claude/skill-library-archive/integrations/chatbotkit-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
chatfai-automation,.claude/skills/chatfai-automation,.claude/skill-library-archive/integrations/chatfai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
chatwork-automation,.claude/skills/chatwork-automation,.claude/skill-library-archive/integrations/chatwork-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
checkpoint-promotion,.claude/skills/checkpoint-promotion,.claude/skill-library-archive/integrations/checkpoint-promotion,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
chief-ai-officer-advisor,.claude/skills/chief-ai-officer-advisor,.claude/skill-library-archive/unreviewed/chief-ai-officer-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
chief-customer-officer-advisor,.claude/skills/chief-customer-officer-advisor,.claude/skill-library-archive/unreviewed/chief-customer-officer-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
chief-data-officer-advisor,.claude/skills/chief-data-officer-advisor,.claude/skill-library-archive/unreviewed/chief-data-officer-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
chief-of-staff,.claude/skills/chief-of-staff,.claude/skill-library-archive/unreviewed/chief-of-staff,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
chmeetings-automation,.claude/skills/chmeetings-automation,.claude/skill-library-archive/integrations/chmeetings-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
chro-advisor,.claude/skills/chro-advisor,.claude/skill-library-archive/unreviewed/chro-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
churn-prevention,.claude/skills/churn-prevention,.claude/skill-library-archive/unreviewed/churn-prevention,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
ci-cd-pipeline-builder,.claude/skills/ci-cd-pipeline-builder,.claude/skill-library-archive/unreviewed/ci-cd-pipeline-builder,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
ci-cd-pipelines,.claude/skills/ci-cd-pipelines,.claude/skills/04-operations/ci-cd-pipelines,activa,Cumple criterios MVP Trading y reduce ruido contextual.
cincopa-automation,.claude/skills/cincopa-automation,.claude/skill-library-archive/integrations/cincopa-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cirq,.claude/skills/cirq,.claude/skill-library-archive/integrations/cirq,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ciso-advisor,.claude/skills/ciso-advisor,.claude/skill-library-archive/unreviewed/ciso-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
ciso-review,.claude/skills/ciso-review,.claude/skill-library-archive/unreviewed/ciso-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
citation-management,.claude/skills/citation-management,.claude/skill-library-archive/integrations/citation-management,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
claid-ai-automation,.claude/skills/claid-ai-automation,.claude/skill-library-archive/integrations/claid-ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
classmarker-automation,.claude/skills/classmarker-automation,.claude/skill-library-archive/integrations/classmarker-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
claude-api,.claude/skills/claude-api,.claude/skill-library-archive/integrations/claude-api,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
claude-coach,.claude/skills/claude-coach,.claude/skill-library-archive/unreviewed/claude-coach,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
claude-memory-kit,.claude/skills/claude-memory-kit,.claude/skill-library-archive/integrations/claude-memory-kit,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
clearout-automation,.claude/skills/clearout-automation,.claude/skill-library-archive/integrations/clearout-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
clickmeeting-automation,.claude/skills/clickmeeting-automation,.claude/skill-library-archive/integrations/clickmeeting-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
clinical-decision-support,.claude/skills/clinical-decision-support,.claude/skill-library-archive/integrations/clinical-decision-support,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
clinical-reports,.claude/skills/clinical-reports,.claude/skill-library-archive/integrations/clinical-reports,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
clinical-research,.claude/skills/clinical-research,.claude/skill-library-archive/unreviewed/clinical-research,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
clockify-automation,.claude/skills/clockify-automation,.claude/skill-library-archive/integrations/clockify-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cloud-security,.claude/skills/cloud-security,.claude/skill-library-archive/unreviewed/cloud-security,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cloudcart-automation,.claude/skills/cloudcart-automation,.claude/skill-library-archive/integrations/cloudcart-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cloudconvert-automation,.claude/skills/cloudconvert-automation,.claude/skill-library-archive/cloud-vendors/cloudconvert-automation,archivada,Skill específica de proveedor cloud no aprobada explícitamente por ADR.
cloudflare-api-key-automation,.claude/skills/cloudflare-api-key-automation,.claude/skill-library-archive/cloud-vendors/cloudflare-api-key-automation,archivada,Skill específica de proveedor cloud no aprobada explícitamente por ADR.
cloudflare-automation,.claude/skills/cloudflare-automation,.claude/skill-library-archive/cloud-vendors/cloudflare-automation,archivada,Skill específica de proveedor cloud no aprobada explícitamente por ADR.
cloudflare-browser-rendering-automation,.claude/skills/cloudflare-browser-rendering-automation,.claude/skill-library-archive/cloud-vendors/cloudflare-browser-rendering-automation,archivada,Skill específica de proveedor cloud no aprobada explícitamente por ADR.
cloudinary-automation,.claude/skills/cloudinary-automation,.claude/skill-library-archive/cloud-vendors/cloudinary-automation,archivada,Skill específica de proveedor cloud no aprobada explícitamente por ADR.
cloudlayer-automation,.claude/skills/cloudlayer-automation,.claude/skill-library-archive/integrations/cloudlayer-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cloudpress-automation,.claude/skills/cloudpress-automation,.claude/skill-library-archive/integrations/cloudpress-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cmd-a11y-audit,.claude/skills/cmd-a11y-audit,.claude/skill-library-archive/unreviewed/cmd-a11y-audit,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cmd-code-to-prd,.claude/skills/cmd-code-to-prd,.claude/skill-library-archive/unreviewed/cmd-code-to-prd,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cmd-cs-aeo,.claude/skills/cmd-cs-aeo,.claude/skill-library-archive/unreviewed/cmd-cs-aeo,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cmd-focused-fix,.claude/skills/cmd-focused-fix,.claude/skill-library-archive/unreviewed/cmd-focused-fix,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cmo-advisor,.claude/skills/cmo-advisor,.claude/skill-library-archive/unreviewed/cmo-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cmo-review,.claude/skills/cmo-review,.claude/skill-library-archive/unreviewed/cmo-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
coassemble-automation,.claude/skills/coassemble-automation,.claude/skill-library-archive/integrations/coassemble-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cobrapy,.claude/skills/cobrapy,.claude/skill-library-archive/integrations/cobrapy,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
codacy-automation,.claude/skills/codacy-automation,.claude/skill-library-archive/integrations/codacy-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
code-review-excellence,.claude/skills/code-review-excellence,.claude/skills/00-core/code-review-excellence,activa,Cumple criterios MVP Trading y reduce ruido contextual.
code-reviewer,.claude/skills/code-reviewer,.claude/skill-library-archive/unreviewed/code-reviewer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
code-to-prd,.claude/skills/code-to-prd,.claude/skill-library-archive/unreviewed/code-to-prd,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
code-tour,.claude/skills/code-tour,.claude/skill-library-archive/unreviewed/code-tour,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
codebase-onboarding,.claude/skills/codebase-onboarding,.claude/skill-library-archive/unreviewed/codebase-onboarding,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
codeinterpreter-automation,.claude/skills/codeinterpreter-automation,.claude/skill-library-archive/integrations/codeinterpreter-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
codereadr-automation,.claude/skills/codereadr-automation,.claude/skill-library-archive/integrations/codereadr-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
coinbase-automation,.claude/skills/coinbase-automation,.claude/skill-library-archive/integrations/coinbase-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
coinmarketcal-automation,.claude/skills/coinmarketcal-automation,.claude/skill-library-archive/integrations/coinmarketcal-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
coinmarketcap-automation,.claude/skills/coinmarketcap-automation,.claude/skill-library-archive/integrations/coinmarketcap-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
coinranking-automation,.claude/skills/coinranking-automation,.claude/skill-library-archive/integrations/coinranking-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cold-email,.claude/skills/cold-email,.claude/skill-library-archive/unreviewed/cold-email,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
collab-proof,.claude/skills/collab-proof,.claude/skill-library-archive/unreviewed/collab-proof,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
college-football-data-automation,.claude/skills/college-football-data-automation,.claude/skill-library-archive/integrations/college-football-data-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
commercial-forecaster,.claude/skills/commercial-forecaster,.claude/skill-library-archive/unreviewed/commercial-forecaster,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
commercial-policy,.claude/skills/commercial-policy,.claude/skill-library-archive/unreviewed/commercial-policy,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
commercial-skills,.claude/skills/commercial-skills,.claude/skill-library-archive/unreviewed/commercial-skills,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
company-os,.claude/skills/company-os,.claude/skill-library-archive/unreviewed/company-os,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
competitive-ads-extractor,.claude/skills/competitive-ads-extractor,.claude/skill-library-archive/marketing/competitive-ads-extractor,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
competitive-intel,.claude/skills/competitive-intel,.claude/skill-library-archive/unreviewed/competitive-intel,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
competitive-landscape,.claude/skills/competitive-landscape,.claude/skill-library-archive/integrations/competitive-landscape,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
competitive-matrix,.claude/skills/competitive-matrix,.claude/skill-library-archive/unreviewed/competitive-matrix,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
competitive-teardown,.claude/skills/competitive-teardown,.claude/skill-library-archive/unreviewed/competitive-teardown,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
competitor-alternatives,.claude/skills/competitor-alternatives,.claude/skill-library-archive/unreviewed/competitor-alternatives,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
competitor-pages,.claude/skills/competitor-pages,.claude/skill-library-archive/integrations/competitor-pages,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
compliance-os-bundle,.claude/skills/compliance-os-bundle,.claude/skill-library-archive/unreviewed/compliance-os-bundle,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
compliance-readiness,.claude/skills/compliance-readiness,.claude/skill-library-archive/unreviewed/compliance-readiness,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
composio-automation,.claude/skills/composio-automation,.claude/skill-library-archive/integrations/composio-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
composio-search-automation,.claude/skills/composio-search-automation,.claude/skill-library-archive/integrations/composio-search-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
config-tunnel-exfil,.claude/skills/config-tunnel-exfil,.claude/skill-library-archive/experimental/config-tunnel-exfil,archivada,Skill experimental/especializada no prioritaria para la fase MVP.
confluence-expert,.claude/skills/confluence-expert,.claude/skill-library-archive/unreviewed/confluence-expert,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
connect-apps,.claude/skills/connect-apps,.claude/skill-library-archive/integrations/connect-apps,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
connect,.claude/skills/connect,.claude/skill-library-archive/integrations/connect,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
connecteam-automation,.claude/skills/connecteam-automation,.claude/skill-library-archive/integrations/connecteam-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
consciousness-council,.claude/skills/consciousness-council,.claude/skill-library-archive/integrations/consciousness-council,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
content-creator,.claude/skills/content-creator,.claude/skill-library-archive/unreviewed/content-creator,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
content-humanizer,.claude/skills/content-humanizer,.claude/skill-library-archive/unreviewed/content-humanizer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
content-planner,.claude/skills/content-planner,.claude/skill-library-archive/content/content-planner,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
coo-advisor,.claude/skills/coo-advisor,.claude/skill-library-archive/unreviewed/coo-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
content-production,.claude/skills/content-production,.claude/skill-library-archive/unreviewed/content-production,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
content-research-writer,.claude/skills/content-research-writer,.claude/skill-library-archive/content/content-research-writer,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
content-strategist,.claude/skills/content-strategist,.claude/skill-library-archive/unreviewed/content-strategist,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
content-strategy,.claude/skills/content-strategy,.claude/skill-library-archive/unreviewed/content-strategy,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
content-writer,.claude/skills/content-writer,.claude/skill-library-archive/content/content-writer,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
contentful-automation,.claude/skills/contentful-automation,.claude/skill-library-archive/content/contentful-automation,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
contentful-graphql-automation,.claude/skills/contentful-graphql-automation,.claude/skill-library-archive/content/contentful-graphql-automation,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
context-audit,.claude/skills/context-audit,.claude/skills/00-core/context-audit,activa,Cumple criterios MVP Trading y reduce ruido contextual.
context-driven-development,.claude/skills/context-driven-development,.claude/skill-library-archive/integrations/context-driven-development,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
context-engine,.claude/skills/context-engine,.claude/skill-library-archive/unreviewed/context-engine,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
continuous-learning,.claude/skills/continuous-learning,.claude/skill-library-archive/integrations/continuous-learning,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
contract-and-proposal-writer,.claude/skills/contract-and-proposal-writer,.claude/skill-library-archive/unreviewed/contract-and-proposal-writer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
control-d-automation,.claude/skills/control-d-automation,.claude/skill-library-archive/integrations/control-d-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
conversion-tools-automation,.claude/skills/conversion-tools-automation,.claude/skill-library-archive/integrations/conversion-tools-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
convertapi-automation,.claude/skills/convertapi-automation,.claude/skill-library-archive/integrations/convertapi-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
conveyor-automation,.claude/skills/conveyor-automation,.claude/skill-library-archive/integrations/conveyor-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
convolo-ai-automation,.claude/skills/convolo-ai-automation,.claude/skill-library-archive/integrations/convolo-ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
copy-editing,.claude/skills/copy-editing,.claude/skill-library-archive/unreviewed/copy-editing,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
copy,.claude/skills/copy,.claude/skill-library-archive/marketing/copy,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
copywriting,.claude/skills/copywriting,.claude/skill-library-archive/unreviewed/copywriting,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
corrently-automation,.claude/skills/corrently-automation,.claude/skill-library-archive/integrations/corrently-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cost-optimization,.claude/skills/cost-optimization,.claude/skill-library-archive/integrations/cost-optimization,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
countdown-api-automation,.claude/skills/countdown-api-automation,.claude/skill-library-archive/integrations/countdown-api-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
coupa-automation,.claude/skills/coupa-automation,.claude/skill-library-archive/integrations/coupa-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
coverage,.claude/skills/coverage,.claude/skill-library-archive/unreviewed/coverage,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cpo-advisor,.claude/skills/cpo-advisor,.claude/skill-library-archive/unreviewed/cpo-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cpo-review,.claude/skills/cpo-review,.claude/skill-library-archive/unreviewed/cpo-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cqrs-implementation,.claude/skills/cqrs-implementation,.claude/skill-library-archive/integrations/cqrs-implementation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
craftmypdf-automation,.claude/skills/craftmypdf-automation,.claude/skill-library-archive/integrations/craftmypdf-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
creative,.claude/skills/creative,.claude/skill-library-archive/content/creative,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
cro-advisor,.claude/skills/cro-advisor,.claude/skill-library-archive/unreviewed/cro-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cro-review,.claude/skills/cro-review,.claude/skill-library-archive/unreviewed/cro-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cross-eval,.claude/skills/cross-eval,.claude/skill-library-archive/unreviewed/cross-eval,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
crowdin-automation,.claude/skills/crowdin-automation,.claude/skill-library-archive/integrations/crowdin-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
crustdata-automation,.claude/skills/crustdata-automation,.claude/skill-library-archive/integrations/crustdata-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
cs-aeo,.claude/skills/cs-aeo,.claude/skill-library-archive/unreviewed/cs-aeo,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-agile-product-owner,.claude/skills/cs-agile-product-owner,.claude/skill-library-archive/unreviewed/cs-agile-product-owner,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-backend-engineer,.claude/skills/cs-backend-engineer,.claude/skill-library-archive/unreviewed/cs-backend-engineer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-backend-review,.claude/skills/cs-backend-review,.claude/skill-library-archive/unreviewed/cs-backend-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-ceo-advisor,.claude/skills/cs-ceo-advisor,.claude/skill-library-archive/unreviewed/cs-ceo-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-content-creator,.claude/skills/cs-content-creator,.claude/skill-library-archive/unreviewed/cs-content-creator,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-cto-advisor,.claude/skills/cs-cto-advisor,.claude/skill-library-archive/unreviewed/cs-cto-advisor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-demand-gen-specialist,.claude/skills/cs-demand-gen-specialist,.claude/skill-library-archive/unreviewed/cs-demand-gen-specialist,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-engineer-grill,.claude/skills/cs-engineer-grill,.claude/skill-library-archive/unreviewed/cs-engineer-grill,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-engineering-lead,.claude/skills/cs-engineering-lead,.claude/skill-library-archive/unreviewed/cs-engineering-lead,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-financial-analyst,.claude/skills/cs-financial-analyst,.claude/skill-library-archive/unreviewed/cs-financial-analyst,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-frontend-engineer,.claude/skills/cs-frontend-engineer,.claude/skill-library-archive/unreviewed/cs-frontend-engineer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-frontend-review,.claude/skills/cs-frontend-review,.claude/skill-library-archive/unreviewed/cs-frontend-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-fullstack-engineer,.claude/skills/cs-fullstack-engineer,.claude/skill-library-archive/unreviewed/cs-fullstack-engineer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-fullstack-review,.claude/skills/cs-fullstack-review,.claude/skill-library-archive/unreviewed/cs-fullstack-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-growth-strategist,.claude/skills/cs-growth-strategist,.claude/skill-library-archive/unreviewed/cs-growth-strategist,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-karpathy-reviewer,.claude/skills/cs-karpathy-reviewer,.claude/skill-library-archive/unreviewed/cs-karpathy-reviewer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-onboard,.claude/skills/cs-onboard,.claude/skill-library-archive/unreviewed/cs-onboard,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-product-analyst,.claude/skills/cs-product-analyst,.claude/skill-library-archive/unreviewed/cs-product-analyst,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-product-manager,.claude/skills/cs-product-manager,.claude/skill-library-archive/unreviewed/cs-product-manager,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-product-strategist,.claude/skills/cs-product-strategist,.claude/skill-library-archive/unreviewed/cs-product-strategist,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-project-manager,.claude/skills/cs-project-manager,.claude/skill-library-archive/unreviewed/cs-project-manager,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-quality-regulatory,.claude/skills/cs-quality-regulatory,.claude/skill-library-archive/unreviewed/cs-quality-regulatory,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-senior-engineer,.claude/skills/cs-senior-engineer,.claude/skill-library-archive/unreviewed/cs-senior-engineer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-ux-researcher,.claude/skills/cs-ux-researcher,.claude/skill-library-archive/unreviewed/cs-ux-researcher,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-webinar-marketer,.claude/skills/cs-webinar-marketer,.claude/skill-library-archive/unreviewed/cs-webinar-marketer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-webinar,.claude/skills/cs-webinar,.claude/skill-library-archive/unreviewed/cs-webinar,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
cs-wiki-ingestor,.claude/skills/cs-wiki-ingestor,.claude/skill-library-archive/unreviewed/cs-wiki-ingestor,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
